Describe the __ of __ the drug __.,Masked Position 4,process,0.6357
Describe the __ of __ the drug __.,Masked Position 4,method,0.0972
Describe the __ of __ the drug __.,Masked Position 4,methods,0.0148
Describe the __ of __ the drug __.,Masked Position 4,consequences,0.0112
Describe the __ of __ the drug __.,Masked Position 4,mechanism,0.0101
Describe the __ of __ the drug __.,Masked Position 4,strategy,0.0099
Describe the __ of __ the drug __.,Masked Position 4,steps,0.0074
Describe the __ of __ the drug __.,Masked Position 4,difficulty,0.0071
Describe the __ of __ the drug __.,Masked Position 4,effects,0.0065
Describe the __ of __ the drug __.,Masked Position 4,cost,0.0055
Describe the __ of __ the drug __.,Masked Position 4,challenges,0.0052
Describe the __ of __ the drug __.,Masked Position 4,history,0.0048
Describe the __ of __ the drug __.,Masked Position 4,results,0.0047
Describe the __ of __ the drug __.,Masked Position 4,processes,0.0045
Describe the __ of __ the drug __.,Masked Position 4,means,0.0041
Describe the __ of __ the drug __.,Masked Position 4,experience,0.0036
Describe the __ of __ the drug __.,Masked Position 4,methodology,0.0036
Describe the __ of __ the drug __.,Masked Position 4,goal,0.0034
Describe the __ of __ the drug __.,Masked Position 4,effect,0.0034
Describe the __ of __ the drug __.,Masked Position 4,stages,0.0034
Describe the __ of __ the drug __.,Masked Position 4,details,0.0031
Describe the __ of __ the drug __.,Masked Position 4,mechanics,0.0030
Describe the __ of __ the drug __.,Masked Position 4,purpose,0.0028
Describe the __ of __ the drug __.,Masked Position 4,impact,0.0027
Describe the __ of __ the drug __.,Masked Position 4,way,0.0026
Describe the __ of __ the drug __.,Masked Position 4,challenge,0.0026
Describe the __ of __ the drug __.,Masked Position 4,benefits,0.0025
Describe the __ of __ the drug __.,Masked Position 4,procedure,0.0022
Describe the __ of __ the drug __.,Masked Position 4,mechanisms,0.0021
Describe the __ of __ the drug __.,Masked Position 4,nature,0.0019
Describe the __ of __ the drug __.,Masked Position 4,costs,0.0017
Describe the __ of __ the drug __.,Masked Position 4,circumstances,0.0017
Describe the __ of __ the drug __.,Masked Position 4,risks,0.0016
Describe the __ of __ the drug __.,Masked Position 4,conditions,0.0016
Describe the __ of __ the drug __.,Masked Position 4,point,0.0015
Describe the __ of __ the drug __.,Masked Position 4,principles,0.0015
Describe the __ of __ the drug __.,Masked Position 4,type,0.0014
Describe the __ of __ the drug __.,Masked Position 4,concept,0.0014
Describe the __ of __ the drug __.,Masked Position 4,idea,0.0014
Describe the __ of __ the drug __.,Masked Position 4,objective,0.0014
Describe the __ of __ the drug __.,Masked Position 4,complexity,0.0014
Describe the __ of __ the drug __.,Masked Position 4,manner,0.0013
Describe the __ of __ the drug __.,Masked Position 4,logistics,0.0013
Describe the __ of __ the drug __.,Masked Position 4,terms,0.0013
Describe the __ of __ the drug __.,Masked Position 4,criteria,0.0013
Describe the __ of __ the drug __.,Masked Position 4,specifics,0.0012
Describe the __ of __ the drug __.,Masked Position 4,characteristics,0.0012
Describe the __ of __ the drug __.,Masked Position 4,difficulties,0.0012
Describe the __ of __ the drug __.,Masked Position 4,science,0.0012
Describe the __ of __ the drug __.,Masked Position 4,importance,0.0011
Describe the __ of __ the drug __.,Masked Position 6,what,0.0726
Describe the __ of __ the drug __.,Masked Position 6,making,0.0667
Describe the __ of __ the drug __.,Masked Position 6,using,0.0594
Describe the __ of __ the drug __.,Masked Position 6,how,0.0486
Describe the __ of __ the drug __.,Masked Position 6,administering,0.0442
Describe the __ of __ the drug __.,Masked Position 6,taking,0.0408
Describe the __ of __ the drug __.,Masked Position 6,getting,0.0238
Describe the __ of __ the drug __.,Masked Position 6,creating,0.0204
Describe the __ of __ the drug __.,Masked Position 6,developing,0.0169
Describe the __ of __ the drug __.,Masked Position 6,delivering,0.0162
Describe the __ of __ the drug __.,Masked Position 6,manufacturing,0.0135
Describe the __ of __ the drug __.,Masked Position 6,producing,0.0122
Describe the __ of __ the drug __.,Masked Position 6,injecting,0.0118
Describe the __ of __ the drug __.,Masked Position 6,selling,0.0117
Describe the __ of __ the drug __.,Masked Position 6,which,0.0116
Describe the __ of __ the drug __.,Masked Position 6,controlling,0.0108
Describe the __ of __ the drug __.,Masked Position 6,finding,0.0108
Describe the __ of __ the drug __.,Masked Position 6,obtaining,0.0108
Describe the __ of __ the drug __.,Masked Position 6,applying,0.0103
Describe the __ of __ the drug __.,Masked Position 6,killing,0.0091
Describe the __ of __ the drug __.,Masked Position 6,prescribing,0.0081
Describe the __ of __ the drug __.,Masked Position 6,having,0.0071
Describe the __ of __ the drug __.,Masked Position 6,drugs,0.0069
Describe the __ of __ the drug __.,Masked Position 6,distributing,0.0067
Describe the __ of __ the drug __.,Masked Position 6,discovering,0.0065
Describe the __ of __ the drug __.,Masked Position 6,the,0.0056
Describe the __ of __ the drug __.,Masked Position 6,choosing,0.0054
Describe the __ of __ the drug __.,Masked Position 6,treating,0.0054
Describe the __ of __ the drug __.,Masked Position 6,acquiring,0.0051
Describe the __ of __ the drug __.,Masked Position 6,changing,0.0049
Describe the __ of __ the drug __.,Masked Position 6,starting,0.0049
Describe the __ of __ the drug __.,Masked Position 6,implementing,0.0048
Describe the __ of __ the drug __.,Masked Position 6,testing,0.0046
Describe the __ of __ the drug __.,Masked Position 6,writing,0.0045
Describe the __ of __ the drug __.,Masked Position 6,smoking,0.0045
Describe the __ of __ the drug __.,Masked Position 6,understanding,0.0042
Describe the __ of __ the drug __.,Masked Position 6,being,0.0041
Describe the __ of __ the drug __.,Masked Position 6,releasing,0.0041
Describe the __ of __ the drug __.,Masked Position 6,stopping,0.0039
Describe the __ of __ the drug __.,Masked Position 6,use,0.0038
Describe the __ of __ the drug __.,Masked Position 6,giving,0.0037
Describe the __ of __ the drug __.,Masked Position 6,fighting,0.0035
Describe the __ of __ the drug __.,Masked Position 6,abusing,0.0034
Describe the __ of __ the drug __.,Masked Position 6,providing,0.0033
Describe the __ of __ the drug __.,Masked Position 6,defeating,0.0033
Describe the __ of __ the drug __.,Masked Position 6,building,0.0031
Describe the __ of __ the drug __.,Masked Position 6,dealing,0.0030
Describe the __ of __ the drug __.,Masked Position 6,putting,0.0030
Describe the __ of __ the drug __.,Masked Position 6,buying,0.0030
Describe the __ of __ the drug __.,Masked Position 6,trafficking,0.0029
Describe the __ of __ the drug __.,Masked Position 9,effect,0.0339
Describe the __ of __ the drug __.,Masked Position 9,fentanyl,0.0264
Describe the __ of __ the drug __.,Masked Position 9,itself,0.0255
Describe the __ of __ the drug __.,Masked Position 9,used,0.0229
Describe the __ of __ the drug __.,Masked Position 9,together,0.0134
Describe the __ of __ the drug __.,Masked Position 9,MDMA,0.0120
Describe the __ of __ the drug __.,Masked Position 9,market,0.0113
Describe the __ of __ the drug __.,Masked Position 9,therapy,0.0104
Describe the __ of __ the drug __.,Masked Position 9,resistance,0.0096
Describe the __ of __ the drug __.,Masked Position 9,receptor,0.0087
Describe the __ of __ the drug __.,Masked Position 9,class,0.0079
Describe the __ of __ the drug __.,Masked Position 9,use,0.0074
Describe the __ of __ the drug __.,Masked Position 9,system,0.0073
Describe the __ of __ the drug __.,Masked Position 9,pill,0.0073
Describe the __ of __ the drug __.,Masked Position 9,addiction,0.0069
Describe the __ of __ the drug __.,Masked Position 9,company,0.0068
Describe the __ of __ the drug __.,Masked Position 9,down,0.0065
Describe the __ of __ the drug __.,Masked Position 9,plant,0.0064
Describe the __ of __ the drug __.,Masked Position 9,overdose,0.0064
Describe the __ of __ the drug __.,Masked Position 9,maker,0.0063
